learning_rates = [0.001, 0.01, 0.1]
dropout_rates = [0.1, 0.2, 0.3]
batch_sizes = [16, 32, 64]
epochs_list = [10, 20, 30]

Accuracy: 0.30000001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.4000000059604645 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.4000000059604645 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.32499998807907104 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.38499999046325684 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.3449999988079071 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.2800000011920929 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.3149999976158142 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 10}
