# Define lists of hyperparameters to search over
learning_rates = [0.001, 0.0015, 0.002]
dropout_rates = [0.1, 0.2, 0.3, 0.5]
batch_sizes = [32, 64, 128, 256]
epochs_list = [30, 40, 50, 60]
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.41999998688697815 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.49000000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.4449999928474426 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 60}
Accuracy: 0.41499999165534973 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.4050000011920929 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 60}
Accuracy: 0.3799999952316284 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.42500001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 60}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 50}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 60}
Accuracy: 0.38999998569488525 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.42500001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.42500001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.42500001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 60}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.42500001192092896 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.41999998688697815 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.45500001311302185 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 60}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.38499999046325684 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 60}
Accuracy: 0.3449999988079071 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.38499999046325684 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 50}
